Cnt:  12,interval:  12, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -33, -466, -909,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  13,interval:  13, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -19, -458, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  14,interval:  14, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -19, -458, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -920,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  15,interval:  15, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -27, -442, -930,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  16,interval:  16, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -27, -442, -930,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  17,interval:  17, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -18, -454, -911,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  18,interval:  18, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -18, -454, -911,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  19,interval:  19, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -25, -435, -917,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  20,interval:  20, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -25, -435, -917,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  21,interval:  21, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -21, -442, -925,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  22,interval:  22, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -21, -442, -925,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  23,interval:  23, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -23, -447, -922,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  24,interval:  24, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -23, -447, -922,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  25,interval:  25, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -18, -441, -925,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  26,interval:  26, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -18, -441, -925,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  27,interval:  27, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -28, -452, -916,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  28,interval:  28, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -28, -452, -916,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
Cnt:  29,interval:  29, STEPS:  0	        findTmp:0,findFlag:0,	        vppSum:    0,oldDataSum:    0,newDataSum:    0,precisionSum: 4095, adResSum:      0,			chanSelFlag:0,0,0,	        badFlagSum:0,ReReg:2,TempSteps: 0	        currStateSum:0,preStateSum:0,		    old:    0,    0,    0,new:    0,    0,    0,		   highThSum:     0,lowThSum:     0, maxSum:     0, minSum:     0, dcSum:     0,	       highTh:     0,     0,     0,lowTh:     0,     0,     0,		    bad:    1,    1,    1,_vpp:    30,    30,    30,			ad:  -19, -454, -918,            dc:  500,  500,  500,max:    0,    0,    0,min:  -33, -472, -930,            precision:    5,    5,    5,            InvalidSteps:   0
